testing_group,location,worm_code,trial ,tube_diameter_cm,CR_Time ,PR_Time,CE_Time,PE_Time,HI,EX,CR_CE_time,notes
A1,Y,Y13,1,0.67,27,,385,375,,,358,
A1,Y,Y17,1,0.96,27,,105,72,,,78,
A1,Y,Y21,1,0.81,27,,87,62,,,60,
A1,Y,Y26,1,0.73,,27,50,27,,,50,
A1,Y,Y28,1,0.61,27,,172,152,,,145,
A1,Y,Y32,1,0.85,,27,52,27,,,52,
A1,Y,Y33,1,0.44,,,,,,,600,
A1,Y,Y48,1,0.49,27,,,579,,,600,
A1,Y,Y5,1,0.57,,,,,,,600,unlabled on photo
A1,Y,Y53,1,0.47,,,,,,,600,hidden behind y81
A1,Y,Y68,1,0.87,27,,,,,,600,
A1,Y,Y71,1,0.41,27,,,,,,600,
A1,Y,Y76,1,0.63,,,,,HI,,600,
A1,Y,Y8,1,0.78,,27,,27,,,600,
A1,Y,Y9,1,0.91,,,,,,,600,can't identify
A1,Z,Z6,1,0.73,,,,,HI,,600,
A1,Z,Z8,1,0.56,,,,,HI,,600,
A1,Y,Y24,1,0.90,,,,,HI,,600,
A1,X,X29,1,0.28,,,,,,,NA,excluded (diff sp)
A2,X,X18,1,0.73,,,,,,EX,0,
A2,X,X2,1,0.61,37,,67,42,,,30,
A2,X,X24,1,0.34,,,,,HI,,NA,diff sp
A2,X,X26,1,0.34,,27,47,27,,,47,
A2,X,X3,1,0.98,,,,,,,NA,mort
A2,X,X4,1,0.57,,,,,,,NA,diff sp
A2,X,XA1,1,0.34,,,,,,,600,hidden by fan
A2,Y,Y41,1,0.56,27,,62,37,,,35,
A2,Y,Y43,1,0.54,,27,70,27,,,70,
A2,Y,Y59,1,0.47,,,,,,,600,hidden by fan
A2,Y,Y61,1,0.74,,,,,,EX,0,
A2,Y,Y64,1,0.58,27,,57,32,,,30,
A2,Y,Y81,1,0.72,,,,,HI,,600,
A2,Y,Y84,1,0.27,,,,,,,600,unlabled on photo
A2,Y,Y86,1,0.63,,,,,,EX,0,
A2,Z,Z1,1,0.45,27,,350,332,,,323,
A3,X,X15,1,0.72,,,,,,,600,
A3,Y,Y1,1,0.78,,,,,,,600,
A3,Y,Y25,1,0.97,,,,,,,600,
A3,Y,Y36,1,0.24,,,,,,,600,
A3,Y,Y57,1,0.56,,,,,,,600,
A3,Y,Y67,1,0.65,,,,,,,600,
A3,Y,Y72,1,0.33,,,,,,,600,
A3,Y,Y74,1,0.63,,,,,,,600,
A3,Y,Y83,1,0.62,,,,,,,600,
A3,Z,Z2,1,0.66,,,,,,,600,
A3,Z,Z5,1,0.77,,,,,,,600,
B1,Y,Y12,1,0.66,,33,68,43,,,68,
B1,Y,Y19,1,0.85,33,,328,293,,,295,
B1,Y,Y2,1,1.01,,,,,,EX,0,
B1,Y,Y22,1,0.63,33,,623,608,,,590,
B1,Y,Y50,1,0.73,33,,378,233,,,345,
B1,Y,Y52,1,0.85,33,,398,343,,,365,
B1,Y,Y54,1,0.53,33,,88,48,,,55,
B1,Y,Y56,1,0.72,33,,93,48,,,60,
B1,Y,Y62,1,0.65,33,,93,58,,,60,
B1,Y,Y65,1,0.41,,,,,,,600,unable to see
B1,Y,Y7,1,0.61,33,,328,273,,,295,
B1,Y,Y87,1,0.54,33,,538,478,,,505,
B1,Z,Z10,1,1.02,,,,,,,600,unable to see
B1,Z,Z4,1,1.29,33,,298,248,,,265,
B1,Z,Z7,1,1.05,,,,,,EX,0,
B2,X,X10,1,1.17,33,,123,43,,,90,
B2,X,X14,1,0.72,,,,,,EX,0,
B2,X,X19,1,0.32,,33,68,48,,,68,
B2,X,X22,1,0.46,,33,53,48,,,53,
B2,X,X28,1,0.34,,,,,,,600,unable to see
B2,X,X6,1,1.05,33,,143,98,,,110,
B2,X,X9,1,1.19,,33,178,48,,,178,
B2,Y,Y16,1,0.76,33,,173,143,,,140,
B2,Y,Y30,1,0.66,33,,69,38,,,36,
B2,Y,Y34,1,0.81,,33,58,38,,,58,
B2,Y,Y37,1,0.37,33,,98,58,,,65,
B2,Y,Y40,1,0.56,,,,,,,600,unable to see
B2,Y,Y44,1,0.78,33,,118,103,,,85,
