testing_group,worm_code,trial ,CR_Time ,PR_Time,CE_Time,PE_Time,HI,EX,CR_CE_time,notes
A1,Y13,1,27,,385,375,,,358,
A1,Y17,1,27,,105,72,,,78,
A1,Y21,1,27,,87,62,,,60,
A1,Y26,1,,27,50,27,,,50,
A1,Y28,1,27,,172,152,,,145,
A1,Y32,1,,27,52,27,,,52,
A1,Y33,1,,,,,,,600,
A1,Y48,1,27,,,579,,,600,
A1,Y5,1,,,,,,,600,unlabled on photo
A1,Y53,1,,,,,,,600,hidden behind y81
A1,Y68,1,27,,,,,,600,
A1,Y71,1,27,,,,,,600,
A1,Y76,1,,,,,HI,,600,
A1,Y8,1,,27,,27,,,600,
A1,Y9,1,,,,,,,600,can't identify
A1,Z6,1,,,,,HI,,600,
A1,Z8,1,,,,,HI,,600,
A1,Y24,1,,,,,HI,,600,
A1,X29,1,,,,,,,NA,excluded (diff sp)
A2,X18,1,,,,,,EX,0,
A2,X2,1,37,,67,42,,,30,
A2,X24,1,,,,,HI,,NA,diff sp
A2,X26,1,,27,47,27,,,47,
A2,X3,1,,,,,,,NA,mort
A2,X4,1,,,,,,,NA,diff sp
A2,XA1,1,,,,,,,600,hidden by fan
A2,Y41,1,27,,62,37,,,35,
A2,Y43,1,,27,70,27,,,70,
A2,Y59,1,,,,,,,600,hidden by fan
A2,Y61,1,,,,,,EX,0,
A2,Y64,1,27,,57,32,,,30,
A2,Y81,1,,,,,HI,,600,
A2,Y84,1,,,,,,,600,unlabled on photo
A2,Y86,1,,,,,,EX,0,
A2,Z1,1,27,,350,332,,,323,
A3,X15,1,,,,,,,600,
A3,Y1,1,,,,,,,600,
A3,Y25,1,,,,,,,600,
A3,Y36,1,,,,,,,600,
A3,Y57,1,,,,,,,600,
A3,Y67,1,,,,,,,600,
A3,Y72,1,,,,,,,600,
A3,Y74,1,,,,,,,600,
A3,Y83,1,,,,,,,600,
A3,Z2,1,,,,,,,600,
A3,Z5,1,,,,,,,600,
